country,category,review_count,avg_review_rating,negative_theme_share,positive_theme_share,halal_concern_share,spiciness_issue_share,price_issue_share,convenience_driver_share,authenticity_driver_share,health_concern_share,review_opportunity_score
Thailand,Frozen mandu,51,3.71,0.549,0.451,0.1765,0.1569,0.098,0.1176,0.3333,0.0,28.33
Thailand,Gochujang sauce,49,3.43,0.7143,0.2857,0.1224,0.1837,0.2245,0.0408,0.2449,0.0816,32.86
Thailand,Kimchi,56,3.46,0.6964,0.3036,0.0357,0.1429,0.0536,0.1071,0.1964,0.25,27.59
Thailand,Korean ramen,59,3.71,0.5593,0.4407,0.1017,0.1525,0.1017,0.0847,0.3559,0.0169,27.03
Thailand,Ready meal,58,3.81,0.5517,0.4483,0.1724,0.1207,0.0862,0.1379,0.3103,0.0517,27.59
Thailand,Seaweed snack,66,3.7,0.6515,0.3485,0.0758,0.0152,0.1818,0.1061,0.2424,0.1364,27.5
United States,Frozen mandu,62,3.65,0.5806,0.4194,0.1452,0.0323,0.1774,0.2097,0.2097,0.0,27.66
United States,Gochujang sauce,52,3.58,0.5769,0.4231,0.0385,0.1346,0.1154,0.1538,0.2692,0.0769,26.06
United States,Kimchi,54,3.5,0.6852,0.3148,0.037,0.2037,0.1667,0.0556,0.2593,0.0926,30.0
United States,Korean ramen,57,3.72,0.6491,0.3509,0.0877,0.1228,0.1754,0.1053,0.2456,0.0351,29.21
United States,Ready meal,53,3.55,0.6038,0.3962,0.1887,0.0566,0.2264,0.2075,0.1887,0.0189,30.09
United States,Seaweed snack,47,3.66,0.6596,0.3404,0.0638,0.0851,0.1064,0.0851,0.2553,0.1064,27.34
Viet Nam,Frozen mandu,67,3.67,0.597,0.403,0.1194,0.1045,0.0896,0.1045,0.2985,0.0448,27.24
Viet Nam,Gochujang sauce,57,3.67,0.614,0.386,0.0526,0.193,0.1228,0.1579,0.2281,0.1579,28.07
Viet Nam,Kimchi,48,3.56,0.6042,0.3958,0.0417,0.0625,0.1042,0.1042,0.2917,0.1875,25.42
Viet Nam,Korean ramen,60,3.57,0.6167,0.3833,0.1,0.1667,0.1,0.1167,0.2667,0.05,28.33
Viet Nam,Ready meal,51,3.76,0.5686,0.4314,0.1373,0.0588,0.1765,0.2353,0.1961,0.0784,27.65
Viet Nam,Seaweed snack,67,3.52,0.7164,0.2836,0.0299,0.1045,0.1194,0.0597,0.2239,0.0746,28.28
