country,category,average_interest,recent_12m_interest,previous_12m_interest,momentum_change,momentum_pct,trend_volatility,peak_interest,zero_share,consumer_interest_score,trend_momentum_score,trend_consistency_score,population,gdp_per_capita_usd,urban_population_pct,internet_users_pct,household_consumption_usd,inflation_pct,macro_potential_score,competitor_count,korean_brand_count,avg_price_per_100g,median_price_usd,avg_rating,total_review_count,halal_claim_share,korean_brand_presence_score,competitive_intensity_score,market_gap_score,price_feasibility_score,review_validation_score,rating_score,review_count,avg_review_rating,negative_theme_share,positive_theme_share,halal_concern_share,spiciness_issue_share,price_issue_share,convenience_driver_share,authenticity_driver_share,health_concern_share,review_opportunity_score,review_opportunity_score_scaled,product_opportunity_score,recommended_action,business_rationale,rank
Thailand,Gochujang sauce,29.0,36.83,32.17,4.67,0.1451,17.14,100,0.1528,0.36723634847853265,0.4930909090909091,0.7974780282766527,,,,,,,0.4660262227209273,8,3,1.04875,7.305,4.225,671,0.125,0.2857142857142857,0.5,0.5,0.9804364837840188,0.10150260656240419,0.5416666666666661,49,3.43,0.7143,0.2857,0.1224,0.1837,0.2245,0.0408,0.2449,0.0816,32.86,0.8242358078602621,58.45,Monitor,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility.",13
Malaysia,Ready meal,65.475,61.625,69.83500000000001,-8.21,-0.11845,14.75,100,0.0,0.8740447408642488,0.18084848484848481,0.9662781811234238,35557673.0,11874.427368424476,76.9170296648992,98.0206059,256552030754.11652,1.834100204499002,0.4681598530898638,8,5,2.88875,8.07,4.025,934,0.625,0.5714285714285714,0.5,0.5,0.8524476132510217,0.18215271389144438,0.20833333333333393,56,3.89,0.6071,0.3929,0.2143,0.0714,0.1429,0.2143,0.1786,0.0179,29.64,0.4727074235807862,58.06,Monitor,"Opportunity supported by strong consumer search interest, favorable price feasibility.",14
Australia,Kimchi,69.43,82.67,79.33,3.33,0.042,12.54,100,0.0,0.928998193691816,0.4606060606060606,0.9873901413832633,27196812.0,64603.985630846415,87.6021469990446,96.13140106,903687877051.534,3.16656665428797,0.4660262227209273,8,2,1.695,7.234999999999999,4.0625,798,0.125,0.14285714285714285,0.5,0.5,0.9354838709677419,0.14044771542471635,0.2708333333333339,54,3.5,0.5926,0.4074,0.0741,0.0556,0.1111,0.0556,0.3519,0.1852,25.83,0.05676855895196464,57.5,Monitor,"Opportunity supported by strong consumer search interest, favorable price feasibility.",15
Singapore,Ready meal,65.03,65.71000000000001,70.875,-5.17,-0.07264999999999999,14.780000000000001,100,0.0,0.8678616090037514,0.2545454545454545,0.9659915934275889,6036860.0,90674.066632628,100.0,94.37757178,172365448241.43692,2.389511235950172,0.5951248185902461,8,4,2.57375,9.465,3.9749999999999996,1211,0.125,0.42857142857142855,0.5,0.5,0.8743587514129206,0.2670959828273536,0.125,51,3.51,0.6078,0.3922,0.098,0.098,0.1176,0.1765,0.2157,0.0196,27.35,0.2227074235807862,56.8,Monitor,"Opportunity supported by strong consumer search interest, favorable price feasibility.",16
Viet Nam,Kimchi,66.08,78.08,61.33,16.75,0.2731,11.22,100,0.0,0.8824510212588577,0.7859393939393939,1.0,100987686.0,4717.290287324488,38.4900703430176,84.15,256646443225.9253,3.621092738858435,0.1410942570931766,8,1,1.15,6.77,4.45,488,0.0,0.0,0.5,0.5,0.9733936179462656,0.04538485127261575,0.916666666666667,48,3.56,0.6042,0.3958,0.0417,0.0625,0.1042,0.1042,0.2917,0.1875,25.42,0.012008733624454315,56.72,Monitor,"Opportunity supported by strong consumer search interest, positive recent trend momentum, favorable price feasibility.",17
Australia,Frozen mandu,29.93,76.67,62.0,14.67,0.2366,31.33,100,0.3889,0.38015839933305534,0.7355151515151515,0.43637753152464653,27196812.0,64603.985630846415,87.6021469990446,96.13140106,903687877051.534,3.16656665428797,0.4660262227209273,8,3,1.2349999999999999,9.83,4.425,413,0.0,0.2857142857142857,0.5,0.5,0.9674810886009912,0.02238577123581724,0.875,59,3.59,0.661,0.339,0.2034,0.0678,0.1525,0.1695,0.1695,0.0,30.59,0.5764192139737991,56.47,Monitor,"Opportunity supported by positive recent trend momentum, favorable price feasibility.",18
Australia,Ready meal,65.17,85.83,89.92,-4.08,-0.04635,20.619999999999997,100,0.0,0.869806863971099,0.280969696969697,0.9102025219717234,27196812.0,64603.985630846415,87.6021469990446,96.13140106,903687877051.534,3.16656665428797,0.4660262227209273,8,3,2.18,7.92,4.3625,578,0.25,0.2857142857142857,0.5,0.5,0.9017476741152943,0.072983747316774,0.770833333333333,46,3.78,0.5652,0.4348,0.1739,0.0435,0.1522,0.2391,0.1957,0.0217,27.72,0.2631004366812224,56.08,Monitor,"Opportunity supported by strong consumer search interest, favorable price feasibility.",19
Singapore,Gochujang sauce,33.15,36.17,33.58,2.58,0.0769,13.75,100,0.0,0.42489926358204794,0.4424242424242424,0.9758311043179213,6036860.0,90674.066632628,100.0,94.37757178,172365448241.43692,2.389511235950172,0.5951248185902461,8,4,1.39875,6.574999999999999,4.4125,750,0.25,0.42857142857142855,0.5,0.5,0.9560907747152422,0.12572830420116532,0.8541666666666661,65,3.58,0.6923,0.3077,0.0769,0.2615,0.0462,0.0923,0.2154,0.1538,30.0,0.5120087336244543,55.88,Monitor,Opportunity supported by favorable price feasibility.,20
Thailand,Kimchi,48.78,52.75,47.42,5.33,0.1125,11.96,100,0.0,0.6420730860080588,0.509090909090909,0.9929308368360719,,,,,,,0.4660262227209273,8,1,0.79,4.484999999999999,4.3375,766,0.25,0.0,0.5,0.5,0.9984349187027215,0.13063477460901562,0.7291666666666679,56,3.46,0.6964,0.3036,0.0357,0.1429,0.0536,0.1071,0.1964,0.25,27.59,0.24890829694323147,55.84,Monitor,Opportunity supported by favorable price feasibility.,21
Indonesia,Korean ramen,63.57,63.17,78.83,-15.67,-0.1987,16.99,100,0.0139,0.8475753786299846,0.0,0.9316010699273978,283487931.0,4925.430487518614,58.7509635387997,72.78075544,773552837989.2095,2.181512736151888,0.3650674175102485,8,3,1.1724999999999999,3.605,4.2375,557,0.875,0.2857142857142857,0.5,0.5,0.971828536648987,0.0665440049064704,0.5625,64,3.66,0.6406,0.3594,0.1719,0.125,0.1094,0.1094,0.25,0.0469,29.77,0.48689956331877715,54.11,Monitor,"Opportunity supported by strong consumer search interest, favorable price feasibility.",22
United States,Frozen mandu,40.47,61.92,65.75,-3.83,-0.0583,23.72,100,0.0,0.5266083090176462,0.287030303030303,0.880588460068781,340110988.0,84534.04078415484,80.1247798047184,94.69380188,17511745000000.0,2.949525204852073,0.8122827718217399,8,4,1.31375,8.945,4.4,604,0.125,0.42857142857142855,0.5,0.5,0.9620033040605165,0.08095676172953083,0.8333333333333339,62,3.65,0.5806,0.4194,0.1452,0.0323,0.1774,0.2097,0.2097,0.0,27.66,0.2565502183406112,53.82,Monitor,"Opportunity supported by attractive macro-market readiness, favorable price feasibility.",23
Malaysia,Kimchi,46.24,38.83,41.67,-2.83,-0.068,14.27,100,0.0,0.6067806030290398,0.31127272727272726,0.9708635842567825,35557673.0,11874.427368424476,76.9170296648992,98.0206059,256552030754.11652,1.834100204499002,0.4681598530898638,8,2,1.825,10.21,4.4375,610,0.5,0.14285714285714285,0.5,0.5,0.9264411790279106,0.08279668813247472,0.8958333333333339,41,3.17,0.7317,0.2683,0.122,0.0976,0.0244,0.0,0.2683,0.1463,28.9,0.3919213973799125,53.44,Monitor,Opportunity supported by favorable price feasibility.,24
Viet Nam,Frozen mandu,56.61,73.5,64.5,9.0,0.1395,18.39,100,0.0,0.7508684173961372,0.5980606060606061,0.9315055406954528,100987686.0,4717.290287324488,38.4900703430176,84.15,256646443225.9253,3.621092738858435,0.1410942570931766,8,3,1.7937500000000002,9.265,4.1125,731,0.125,0.2857142857142857,0.5,0.5,0.9286149030519085,0.119901870591843,0.35416666666666696,67,3.67,0.597,0.403,0.1194,0.1045,0.0896,0.1045,0.2985,0.0448,27.24,0.2106986899563319,53.29,Monitor,"Opportunity supported by strong consumer search interest, favorable price feasibility.",25
Indonesia,Frozen mandu,20.62,50.33,24.75,25.58,1.0337,22.6,100,0.4167,0.25079894400444624,1.0,0.49321742453190676,283487931.0,4925.430487518614,58.7509635387997,72.78075544,773552837989.2095,2.181512736151888,0.3650674175102485,8,5,1.33625,9.655000000000001,4.2375,604,0.375,0.5714285714285714,0.5,0.5,0.960438222763238,0.08095676172953083,0.5625,53,3.6,0.6038,0.3962,0.2075,0.0755,0.0943,0.1509,0.2453,0.0189,28.77,0.37772925764192156,53.11,Monitor,"Opportunity supported by positive recent trend momentum, favorable price feasibility.",26
Indonesia,Ready meal,53.435,36.875,47.5,-10.625,-0.188,17.75,100,0.0,0.7067528136723634,0.1223030303030303,0.9376194115399312,283487931.0,4925.430487518614,58.7509635387997,72.78075544,773552837989.2095,2.181512736151888,0.3650674175102485,8,2,2.41875,8.375,4.15,906,0.75,0.14285714285714285,0.5,0.5,0.8851404225719502,0.17356639067770624,0.41666666666666785,60,3.75,0.6167,0.3833,0.2,0.0833,0.1667,0.1833,0.2,0.0167,30.08,0.5207423580786026,52.72,Monitor,"Opportunity supported by strong consumer search interest, favorable price feasibility.",27
Philippines,Korean ramen,43.61,38.17,41.0,-2.83,-0.0691,13.07,100,0.0,0.570237598999583,0.31127272727272726,0.9823270920901797,115843670.0,3984.8315387656016,55.4520983215477,67.26300914,351500468924.644,3.21260487006347,0.1405619084470753,8,2,1.8275000000000001,3.79,4.2,501,0.125,0.14285714285714285,0.5,0.5,0.9262672811059908,0.04937135847899417,0.5000000000000009,65,3.54,0.6462,0.3538,0.1385,0.2462,0.1077,0.1231,0.2308,0.0154,31.0,0.6211790393013099,51.87,Monitor,Opportunity supported by favorable price feasibility.,28
Indonesia,Gochujang sauce,45.93,29.92,44.0,-14.08,-0.3201,15.95,100,0.0,0.6024732527441989,0.03854545454545455,0.9548146732900268,283487931.0,4925.430487518614,58.7509635387997,72.78075544,773552837989.2095,2.181512736151888,0.3650674175102485,8,2,1.2674999999999998,7.495,4.2,340,0.75,0.14285714285714285,0.5,0.5,0.9652204156160333,0.0,0.5000000000000009,55,3.35,0.7273,0.2727,0.1455,0.1636,0.0727,0.0545,0.2182,0.0909,31.0,0.6211790393013099,51.6,Monitor,Opportunity supported by favorable price feasibility.,29
Malaysia,Frozen mandu,33.11,34.25,32.83,1.42,0.0431,24.07,100,0.2778,0.4243434764485201,0.4143030303030303,0.611864730607566,35557673.0,11874.427368424476,76.9170296648992,98.0206059,256552030754.11652,1.834100204499002,0.4681598530898638,8,2,1.61625,10.41,4.1875,585,0.5,0.14285714285714285,0.5,0.5,0.9409616555082166,0.07513032812020852,0.47916666666666696,50,3.6,0.68,0.32,0.2,0.04,0.12,0.12,0.2,0.0,30.0,0.5120087336244543,51.51,Monitor,Opportunity supported by favorable price feasibility.,30
Viet Nam,Ready meal,57.59,76.42,75.0,1.42,0.007399999999999997,19.35,100,0.0,0.7644852021675698,0.4143030303030303,0.9223347344287351,100987686.0,4717.290287324488,38.4900703430176,84.15,256646443225.9253,3.621092738858435,0.1410942570931766,8,4,1.53,5.885,4.2125,1384,0.25,0.42857142857142855,0.5,0.5,0.9469611338144509,0.3201471941122355,0.5208333333333339,51,3.76,0.5686,0.4314,0.1373,0.0588,0.1765,0.2353,0.1961,0.0784,27.65,0.25545851528384267,51.42,Monitor,"Opportunity supported by strong consumer search interest, favorable price feasibility.",31
Philippines,Frozen mandu,36.9,30.67,38.58,-7.92,-0.2052,24.87,100,0.2083,0.4770043073502847,0.18787878787878787,0.6706152082537256,115843670.0,3984.8315387656016,55.4520983215477,67.26300914,351500468924.644,3.21260487006347,0.1405619084470753,8,2,2.0,12.07,4.1625,883,0.125,0.14285714285714285,0.5,0.5,0.9142683244935224,0.16651333946642138,0.4375,52,3.46,0.6923,0.3077,0.1923,0.0769,0.2115,0.0769,0.2308,0.0192,32.02,0.7325327510917035,47.95,Monitor,"Opportunity supported by meaningful review-based opportunity signals, favorable price feasibility.",32
Singapore,Kimchi,37.58,37.42,36.25,1.17,0.0322,13.16,100,0.0,0.4864526886202583,0.40824242424242424,0.9814673290026749,6036860.0,90674.066632628,100.0,94.37757178,172365448241.43692,2.389511235950172,0.5951248185902461,8,5,1.885,9.870000000000001,4.1375,883,0.25,0.5714285714285714,0.5,0.5,0.9222676289018346,0.16651333946642138,0.3958333333333339,48,3.71,0.5625,0.4375,0.0,0.1042,0.1667,0.0625,0.375,0.125,25.31,0.0,47.19,Monitor,Opportunity supported by favorable price feasibility.,33
Viet Nam,Gochujang sauce,33.65,41.0,34.58,6.42,0.1855,12.38,100,0.0,0.43184660275114617,0.5355151515151515,0.9889186090943829,100987686.0,4717.290287324488,38.4900703430176,84.15,256646443225.9253,3.621092738858435,0.1410942570931766,8,3,1.70625,6.6850000000000005,4.2875,1231,0.125,0.2857142857142857,0.5,0.5,0.9347013303191027,0.2732290708371665,0.645833333333333,57,3.67,0.614,0.386,0.0526,0.193,0.1228,0.1579,0.2281,0.1579,28.07,0.3013100436681224,46.87,Monitor,Opportunity supported by favorable price feasibility.,34
Philippines,Gochujang sauce,26.83,25.08,22.92,2.17,0.0945,16.73,100,0.0,0.3370848964846463,0.43248484848484847,0.9473633931983187,115843670.0,3984.8315387656016,55.4520983215477,67.26300914,351500468924.644,3.21260487006347,0.1405619084470753,8,4,1.69625,5.984999999999999,4.4,515,0.125,0.42857142857142855,0.5,0.5,0.935396922006782,0.05366452008586324,0.8333333333333339,58,3.59,0.6724,0.3276,0.1034,0.2241,0.0862,0.069,0.2586,0.069,30.17,0.5305676855895198,46.85,Monitor,Opportunity supported by favorable price feasibility.,35
Thailand,Frozen mandu,29.61,43.75,41.67,2.08,0.05,32.74,100,0.5139,0.3757121022648325,0.4303030303030303,0.30349636988918594,,,,,,,0.4660262227209273,8,5,0.9225,9.094999999999999,4.15,828,0.125,0.5714285714285714,0.5,0.5,0.9892183288409704,0.14964734743943575,0.41666666666666785,51,3.71,0.549,0.451,0.1765,0.1569,0.098,0.1176,0.3333,0.0,28.33,0.32969432314410474,46.29,Monitor,Opportunity supported by favorable price feasibility.,36
Philippines,Ready meal,43.45,31.165,35.875,-4.71,-0.13155,14.59,100,0.0,0.5680144504654717,0.2656969696969697,0.9678066488345434,115843670.0,3984.8315387656016,55.4520983215477,67.26300914,351500468924.644,3.21260487006347,0.1405619084470753,8,3,1.885,6.61,4.2,1702,0.125,0.2857142857142857,0.5,0.5,0.9222676289018346,0.4176632934682613,0.5000000000000009,56,3.59,0.6071,0.3929,0.1429,0.0714,0.1429,0.2143,0.1786,0.0714,28.21,0.31659388646288233,45.45,Monitor,Opportunity supported by favorable price feasibility.,37
Philippines,Kimchi,28.67,23.58,22.83,0.75,0.0328,15.74,100,0.0,0.36265110462692784,0.39806060606060606,0.9568207871608713,115843670.0,3984.8315387656016,55.4520983215477,67.26300914,351500468924.644,3.21260487006347,0.1405619084470753,8,1,1.4475,6.545,4.1375,450,0.5,0.0,0.5,0.5,0.9526997652378054,0.03373198405397117,0.3958333333333339,64,3.7,0.625,0.375,0.0781,0.125,0.125,0.125,0.25,0.0938,27.81,0.27292576419213965,42.44,Deprioritize,Opportunity supported by favorable price feasibility.,38
Thailand,Korean ramen,10.56,16.0,12.33,3.67,0.2973,28.4,100,0.875,0.11101847992218979,0.46884848484848485,-2.220446049250313e-16,,,,,,,0.4660262227209273,8,2,1.34875,3.005,4.25,558,0.0,0.14285714285714285,0.5,0.5,0.9595687331536388,0.06685065930696106,0.5833333333333339,59,3.71,0.5593,0.4407,0.1017,0.1525,0.1017,0.0847,0.3559,0.0169,27.03,0.18777292576419224,36.49,Deprioritize,Opportunity supported by favorable price feasibility.,39
Viet Nam,Korean ramen,2.57,0.0,8.33,-8.33,-1.0,15.36,100,0.9722,0.0,0.17793939393939393,0.03171570500573173,100987686.0,4717.290287324488,38.4900703430176,84.15,256646443225.9253,3.621092738858435,0.1410942570931766,8,4,0.7675,2.4450000000000003,4.4875,1322,0.25,0.42857142857142855,0.5,0.5,1.0,0.30113462128181545,0.979166666666667,60,3.57,0.6167,0.3833,0.1,0.1667,0.1,0.1167,0.2667,0.05,28.33,0.32969432314410474,27.23,Deprioritize,Opportunity supported by favorable price feasibility.,40
