product_id,country,platform,category,brand_type,anonymous_brand,product_name,pack_size_g,price_local,currency,price_usd,price_per_100g,rating,review_count,halal_claim,product_format,positioning,data_type
P0033,Indonesia,Shopee ID,Ready meal,Private Label,Private Label J,Bulgogi Meal - microwave bowl,350,104160.0,IDR,6.72,1.92,3.8,34,False,microwave bowl,value,synthetic_anonymized
P0034,Indonesia,Shopee ID,Ready meal,Local Brand,Local Brand U,Bulgogi Meal - frozen tray,259,84630.0,IDR,5.46,2.11,4.6,103,True,frozen tray,mainstream,synthetic_anonymized
P0035,Indonesia,Shopee ID,Ready meal,Private Label,Private Label D,Bibimbap Bowl - microwave bowl,432,136555.0,IDR,8.81,2.04,4.6,118,True,microwave bowl,premium,synthetic_anonymized
P0036,Indonesia,Tokopedia,Ready meal,Korean Brand,Korean Brand B,Bibimbap Bowl - frozen tray,303,124775.0,IDR,8.05,2.66,4.3,30,True,frozen tray,mainstream,synthetic_anonymized
P0037,Indonesia,Shopee ID,Ready meal,Korean Brand,Korean Brand H,Tteokbokki Meal - microwave bowl,407,169880.0,IDR,10.96,2.69,3.8,87,True,microwave bowl,mainstream,synthetic_anonymized
P0038,Indonesia,Shopee ID,Ready meal,Local Brand,Local Brand J,Bulgogi Meal - microwave bowl,591,134850.0,IDR,8.7,1.47,3.7,62,True,microwave bowl,value,synthetic_anonymized
P0039,Indonesia,Shopee ID,Ready meal,Private Label,Private Label D,Bibimbap Bowl - frozen tray,574,72385.0,IDR,4.67,0.81,4.0,79,False,frozen tray,value,synthetic_anonymized
P0040,Indonesia,Shopee ID,Ready meal,Premium Import Brand,Premium Import Brand F,Bulgogi Meal - microwave bowl,226,198090.0,IDR,12.78,5.65,4.4,393,True,microwave bowl,premium,synthetic_anonymized
P0041,Indonesia,Tokopedia,Seaweed snack,Local Brand,Local Brand F,Seaweed Snack - snack pack,70,64015.0,IDR,4.13,5.9,4.4,52,True,snack pack,premium,synthetic_anonymized
P0042,Indonesia,Shopee ID,Seaweed snack,Premium Import Brand,Premium Import Brand K,Seaweed Snack - multi-pack,15,38440.0,IDR,2.48,16.53,4.4,84,False,multi-pack,mainstream,synthetic_anonymized
P0043,Indonesia,Tokopedia,Seaweed snack,Korean Brand,Korean Brand U,Seaweed Crisps - snack pack,72,34410.0,IDR,2.22,3.08,4.0,43,True,snack pack,mainstream,synthetic_anonymized
P0044,Indonesia,Shopee ID,Seaweed snack,Japanese Brand,Japanese Brand R,Seaweed Crisps - tray pack,27,46810.0,IDR,3.02,11.19,4.3,266,True,tray pack,value,synthetic_anonymized
P0045,Indonesia,Shopee ID,Seaweed snack,Korean Brand,Korean Brand C,Seaweed Crisps - snack pack,41,57040.0,IDR,3.68,8.98,3.8,45,True,snack pack,mainstream,synthetic_anonymized
P0046,Indonesia,Shopee ID,Seaweed snack,Japanese Brand,Japanese Brand U,Roasted Seaweed - snack pack,99,54560.0,IDR,3.52,3.56,3.6,189,True,snack pack,value,synthetic_anonymized
P0047,Indonesia,Shopee ID,Seaweed snack,Local Brand,Local Brand U,Seaweed Crisps - tray pack,35,65720.0,IDR,4.24,12.11,4.4,2885,False,tray pack,mainstream,synthetic_anonymized
P0048,Indonesia,Tokopedia,Seaweed snack,Premium Import Brand,Premium Import Brand L,Roasted Seaweed - tray pack,74,16430.0,IDR,1.06,1.43,4.1,37,True,tray pack,value,synthetic_anonymized
P0049,Malaysia,Lazada MY,Korean ramen,Korean Brand,Korean Brand Q,Kimchi Ramen - multi-pack,130,12.88,MYR,2.74,2.11,3.6,124,True,multi-pack,mainstream,synthetic_anonymized
P0050,Malaysia,Shopee MY,Korean ramen,Korean Brand,Korean Brand D,Spicy Ramen - cup noodle,421,9.54,MYR,2.03,0.48,3.6,132,False,cup noodle,mainstream,synthetic_anonymized
P0051,Malaysia,Shopee MY,Korean ramen,Local Brand,Local Brand C,Mild Ramen - multi-pack,84,11.7,MYR,2.49,2.96,3.9,17,True,multi-pack,value,synthetic_anonymized
P0052,Malaysia,Lazada MY,Korean ramen,Korean Brand,Korean Brand Y,Kimchi Ramen - cup noodle,348,20.68,MYR,4.4,1.26,3.8,15,False,cup noodle,mainstream,synthetic_anonymized
P0053,Malaysia,Shopee MY,Korean ramen,Japanese Brand,Japanese Brand D,Mild Ramen - cup noodle,425,6.02,MYR,1.28,0.3,4.0,401,True,cup noodle,mainstream,synthetic_anonymized
P0054,Malaysia,Lazada MY,Korean ramen,Korean Brand,Korean Brand E,Kimchi Ramen - cup noodle,592,9.96,MYR,2.12,0.36,4.1,91,True,cup noodle,value,synthetic_anonymized
P0055,Malaysia,Lazada MY,Korean ramen,Local Brand,Local Brand X,Kimchi Ramen - single pack,526,12.41,MYR,2.64,0.5,3.8,110,True,single pack,mainstream,synthetic_anonymized
P0056,Malaysia,Lazada MY,Korean ramen,Korean Brand,Korean Brand C,Cheese Ramen - single pack,364,8.7,MYR,1.85,0.51,4.4,199,True,single pack,premium,synthetic_anonymized
P0057,Malaysia,Lazada MY,Kimchi,Korean Brand,Korean Brand W,Original Kimchi - jar,581,48.69,MYR,10.36,1.78,4.1,13,False,jar,mainstream,synthetic_anonymized
P0058,Malaysia,Shopee MY,Kimchi,Japanese Brand,Japanese Brand T,Cabbage Kimchi - pouch,911,41.03,MYR,8.73,0.96,4.1,101,True,pouch,mainstream,synthetic_anonymized
P0059,Malaysia,Shopee MY,Kimchi,Korean Brand,Korean Brand T,Cabbage Kimchi - jar,911,72.57,MYR,15.44,1.69,4.9,62,False,jar,premium,synthetic_anonymized
P0060,Malaysia,Lazada MY,Kimchi,Local Brand,Local Brand B,Original Kimchi - jar,485,31.82,MYR,6.77,1.4,4.3,61,False,jar,value,synthetic_anonymized
P0061,Malaysia,Lazada MY,Kimchi,Private Label,Private Label M,Fresh Kimchi - jar,839,47.28,MYR,10.06,1.2,4.6,64,False,jar,premium,synthetic_anonymized
P0062,Malaysia,Shopee MY,Kimchi,Japanese Brand,Japanese Brand P,Fresh Kimchi - fresh pack,726,54.85,MYR,11.67,1.61,4.1,108,True,fresh pack,mainstream,synthetic_anonymized
P0063,Malaysia,Shopee MY,Kimchi,Private Label,Private Label P,Cabbage Kimchi - jar,751,37.69,MYR,8.02,1.07,4.9,43,True,jar,premium,synthetic_anonymized
P0064,Malaysia,Shopee MY,Kimchi,Japanese Brand,Japanese Brand X,Fresh Kimchi - pouch,224,51.51,MYR,10.96,4.89,4.5,158,True,pouch,mainstream,synthetic_anonymized
P0065,Malaysia,Lazada MY,Gochujang sauce,Korean Brand,Korean Brand B,Korean Chili Sauce - jar,593,26.51,MYR,5.64,0.95,4.9,411,False,jar,mainstream,synthetic_anonymized
P0066,Malaysia,Shopee MY,Gochujang sauce,Korean Brand,Korean Brand K,Gochujang Sauce - jar,747,36.33,MYR,7.73,1.03,4.6,38,False,jar,premium,synthetic_anonymized
P0067,Malaysia,Shopee MY,Gochujang sauce,Korean Brand,Korean Brand J,Gochujang Sauce - jar,568,31.02,MYR,6.6,1.16,3.8,16,False,jar,value,synthetic_anonymized
P0068,Malaysia,Lazada MY,Gochujang sauce,Korean Brand,Korean Brand T,Korean Chili Sauce - squeeze bottle,795,39.2,MYR,8.34,1.05,4.5,68,True,squeeze bottle,mainstream,synthetic_anonymized
P0069,Malaysia,Shopee MY,Gochujang sauce,Korean Brand,Korean Brand U,Korean Chili Sauce - tube,595,64.53,MYR,13.73,2.31,4.5,40,False,tube,premium,synthetic_anonymized
P0070,Malaysia,Shopee MY,Gochujang sauce,Korean Brand,Korean Brand L,Korean Chili Sauce - squeeze bottle,763,31.21,MYR,6.64,0.87,4.0,591,True,squeeze bottle,mainstream,synthetic_anonymized
P0071,Malaysia,Shopee MY,Gochujang sauce,Korean Brand,Korean Brand B,Sweet Spicy Sauce - jar,224,30.6,MYR,6.51,2.91,4.1,112,False,jar,mainstream,synthetic_anonymized
P0072,Malaysia,Lazada MY,Gochujang sauce,Korean Brand,Korean Brand X,Sweet Spicy Sauce - squeeze bottle,385,20.49,MYR,4.36,1.13,4.7,39,True,squeeze bottle,premium,synthetic_anonymized
P0073,Malaysia,Shopee MY,Frozen mandu,Korean Brand,Korean Brand L,Vegetable Mandu - value pack,957,57.11,MYR,12.15,1.27,4.1,58,False,value pack,value,synthetic_anonymized
P0074,Malaysia,Shopee MY,Frozen mandu,Japanese Brand,Japanese Brand X,Kimchi Mandu - family pack,473,51.75,MYR,11.01,2.33,4.1,110,True,family pack,mainstream,synthetic_anonymized
P0075,Malaysia,Lazada MY,Frozen mandu,Korean Brand,Korean Brand G,Kimchi Mandu - frozen bag,638,46.11,MYR,9.81,1.54,4.4,76,True,frozen bag,mainstream,synthetic_anonymized
P0076,Malaysia,Lazada MY,Frozen mandu,Japanese Brand,Japanese Brand U,Vegetable Mandu - value pack,1103,43.19,MYR,9.19,0.83,4.5,145,True,value pack,premium,synthetic_anonymized
P0077,Malaysia,Lazada MY,Frozen mandu,Local Brand,Local Brand G,Kimchi Mandu - family pack,1157,28.72,MYR,6.11,0.53,3.8,14,True,family pack,value,synthetic_anonymized
P0078,Malaysia,Lazada MY,Frozen mandu,Local Brand,Local Brand S,Kimchi Mandu - frozen bag,959,24.39,MYR,5.19,0.54,4.4,42,False,frozen bag,mainstream,synthetic_anonymized
P0079,Malaysia,Shopee MY,Frozen mandu,Japanese Brand,Japanese Brand W,Vegetable Mandu - value pack,647,64.01,MYR,13.62,2.11,3.7,42,False,value pack,mainstream,synthetic_anonymized
P0080,Malaysia,Shopee MY,Frozen mandu,Private Label,Private Label K,Chicken Mandu - value pack,416,73.98,MYR,15.74,3.78,4.5,98,False,value pack,premium,synthetic_anonymized
P0081,Malaysia,Shopee MY,Ready meal,Korean Brand,Korean Brand V,Bibimbap Bowl - meal kit,428,22.56,MYR,4.8,1.12,3.7,22,False,meal kit,value,synthetic_anonymized
P0082,Malaysia,Lazada MY,Ready meal,Korean Brand,Korean Brand Y,Bulgogi Meal - microwave bowl,253,37.04,MYR,7.88,3.11,4.2,216,True,microwave bowl,mainstream,synthetic_anonymized
P0083,Malaysia,Lazada MY,Ready meal,Korean Brand,Korean Brand A,Bibimbap Bowl - frozen tray,207,19.74,MYR,4.2,2.03,3.4,33,True,frozen tray,value,synthetic_anonymized
P0084,Malaysia,Lazada MY,Ready meal,Korean Brand,Korean Brand S,Bulgogi Meal - frozen tray,556,78.44,MYR,16.69,3.0,4.5,200,True,frozen tray,premium,synthetic_anonymized
P0085,Malaysia,Shopee MY,Ready meal,Local Brand,Local Brand Q,Tteokbokki Meal - microwave bowl,411,47.42,MYR,10.09,2.45,4.4,75,True,microwave bowl,premium,synthetic_anonymized
P0086,Malaysia,Lazada MY,Ready meal,Japanese Brand,Japanese Brand L,Bulgogi Meal - frozen tray,209,73.84,MYR,15.71,7.52,4.7,30,False,frozen tray,premium,synthetic_anonymized
P0087,Malaysia,Lazada MY,Ready meal,Private Label,Private Label Z,Bulgogi Meal - microwave bowl,376,29.75,MYR,6.33,1.68,4.0,327,False,microwave bowl,mainstream,synthetic_anonymized
P0088,Malaysia,Lazada MY,Ready meal,Korean Brand,Korean Brand J,Bulgogi Meal - frozen tray,376,38.82,MYR,8.26,2.2,3.3,31,True,frozen tray,value,synthetic_anonymized
P0089,Malaysia,Shopee MY,Seaweed snack,Korean Brand,Korean Brand H,Seaweed Snack - multi-pack,15,15.18,MYR,3.23,21.53,4.2,64,False,multi-pack,value,synthetic_anonymized
P0090,Malaysia,Lazada MY,Seaweed snack,Korean Brand,Korean Brand E,Roasted Seaweed - snack pack,62,22.47,MYR,4.78,7.71,4.1,157,True,snack pack,mainstream,synthetic_anonymized
P0091,Malaysia,Lazada MY,Seaweed snack,Japanese Brand,Japanese Brand P,Seaweed Snack - snack pack,10,22.65,MYR,4.82,48.2,3.8,145,False,snack pack,mainstream,synthetic_anonymized
P0092,Malaysia,Lazada MY,Seaweed snack,Local Brand,Local Brand P,Seaweed Snack - snack pack,41,5.59,MYR,1.19,2.9,3.0,70,False,snack pack,mainstream,synthetic_anonymized
P0093,Malaysia,Shopee MY,Seaweed snack,Private Label,Private Label R,Roasted Seaweed - multi-pack,59,28.39,MYR,6.04,10.24,4.7,51,True,multi-pack,premium,synthetic_anonymized
P0094,Malaysia,Lazada MY,Seaweed snack,Korean Brand,Korean Brand T,Seaweed Crisps - multi-pack,56,12.6,MYR,2.68,4.79,4.5,268,False,multi-pack,mainstream,synthetic_anonymized
P0095,Malaysia,Shopee MY,Seaweed snack,Local Brand,Local Brand A,Seaweed Snack - multi-pack,47,16.31,MYR,3.47,7.38,4.3,111,False,multi-pack,mainstream,synthetic_anonymized
P0096,Malaysia,Lazada MY,Seaweed snack,Japanese Brand,Japanese Brand F,Seaweed Snack - tray pack,88,19.55,MYR,4.16,4.73,4.5,7,False,tray pack,premium,synthetic_anonymized
P0097,Philippines,Shopee PH,Korean ramen,Premium Import Brand,Premium Import Brand U,Spicy Ramen - multi-pack,185,226.8,PHP,4.05,2.19,4.2,184,False,multi-pack,mainstream,synthetic_anonymized
P0098,Philippines,Shopee PH,Korean ramen,Japanese Brand,Japanese Brand F,Spicy Ramen - multi-pack,148,210.56,PHP,3.76,2.54,4.6,14,False,multi-pack,value,synthetic_anonymized
P0099,Philippines,Lazada PH,Korean ramen,Korean Brand,Korean Brand L,Cheese Ramen - multi-pack,190,70.56,PHP,1.26,0.66,3.6,84,False,multi-pack,value,synthetic_anonymized
P0100,Philippines,Lazada PH,Korean ramen,Japanese Brand,Japanese Brand C,Cheese Ramen - multi-pack,274,310.24,PHP,5.54,2.02,4.5,59,False,multi-pack,premium,synthetic_anonymized
P0101,Philippines,Shopee PH,Korean ramen,Japanese Brand,Japanese Brand H,Spicy Ramen - multi-pack,84,107.52,PHP,1.92,2.29,4.1,35,False,multi-pack,value,synthetic_anonymized
P0102,Philippines,Shopee PH,Korean ramen,Japanese Brand,Japanese Brand A,Mild Ramen - single pack,425,279.44,PHP,4.99,1.17,4.1,17,True,single pack,premium,synthetic_anonymized
P0103,Philippines,Shopee PH,Korean ramen,Korean Brand,Korean Brand G,Cheese Ramen - cup noodle,126,183.12,PHP,3.27,2.6,4.5,51,False,cup noodle,mainstream,synthetic_anonymized
P0104,Philippines,Lazada PH,Korean ramen,Private Label,Private Label Z,Spicy Ramen - cup noodle,332,213.92,PHP,3.82,1.15,4.0,57,False,cup noodle,value,synthetic_anonymized
P0105,Philippines,Shopee PH,Kimchi,Premium Import Brand,Premium Import Brand K,Mild Kimchi - jar,227,374.08,PHP,6.68,2.94,4.3,72,False,jar,value,synthetic_anonymized
P0106,Philippines,Lazada PH,Kimchi,Premium Import Brand,Premium Import Brand Y,Fresh Kimchi - fresh pack,900,194.32,PHP,3.47,0.39,3.5,12,True,fresh pack,value,synthetic_anonymized
P0107,Philippines,Shopee PH,Kimchi,Japanese Brand,Japanese Brand V,Cabbage Kimchi - fresh pack,780,375.76,PHP,6.71,0.86,4.0,34,True,fresh pack,mainstream,synthetic_anonymized
P0108,Philippines,Shopee PH,Kimchi,Korean Brand,Korean Brand C,Original Kimchi - pouch,294,358.96,PHP,6.41,2.18,3.5,63,False,pouch,mainstream,synthetic_anonymized
P0109,Philippines,Shopee PH,Kimchi,Private Label,Private Label P,Original Kimchi - jar,295,324.24,PHP,5.79,1.96,4.8,68,False,jar,premium,synthetic_anonymized
P0110,Philippines,Lazada PH,Kimchi,Japanese Brand,Japanese Brand S,Original Kimchi - fresh pack,744,376.32,PHP,6.72,0.9,4.5,69,False,fresh pack,mainstream,synthetic_anonymized
P0111,Philippines,Lazada PH,Kimchi,Local Brand,Local Brand J,Original Kimchi - fresh pack,592,564.48,PHP,10.08,1.7,4.1,70,True,fresh pack,premium,synthetic_anonymized
P0112,Philippines,Shopee PH,Kimchi,Private Label,Private Label H,Mild Kimchi - pouch,859,313.6,PHP,5.6,0.65,4.4,62,True,pouch,value,synthetic_anonymized
P0113,Philippines,Lazada PH,Gochujang sauce,Korean Brand,Korean Brand F,Korean Chili Sauce - jar,317,253.68,PHP,4.53,1.43,4.4,37,False,jar,mainstream,synthetic_anonymized
P0114,Philippines,Shopee PH,Gochujang sauce,Korean Brand,Korean Brand V,Sweet Spicy Sauce - jar,914,371.28,PHP,6.63,0.73,4.6,45,False,jar,mainstream,synthetic_anonymized
P0115,Philippines,Lazada PH,Gochujang sauce,Local Brand,Local Brand C,Gochujang Sauce - tube,317,423.36,PHP,7.56,2.38,4.5,43,False,tube,mainstream,synthetic_anonymized
P0116,Philippines,Lazada PH,Gochujang sauce,Local Brand,Local Brand R,Sweet Spicy Sauce - squeeze bottle,200,488.32,PHP,8.72,4.36,4.2,55,False,squeeze bottle,premium,synthetic_anonymized
P0117,Philippines,Lazada PH,Gochujang sauce,Local Brand,Local Brand H,Korean Chili Sauce - jar,458,143.92,PHP,2.57,0.56,3.8,108,False,jar,value,synthetic_anonymized
P0118,Philippines,Shopee PH,Gochujang sauce,Korean Brand,Korean Brand T,Sweet Spicy Sauce - jar,984,200.48,PHP,3.58,0.36,5.0,52,False,jar,mainstream,synthetic_anonymized
P0119,Philippines,Lazada PH,Gochujang sauce,Local Brand,Local Brand M,Sweet Spicy Sauce - jar,294,505.68,PHP,9.03,3.07,4.4,52,False,jar,mainstream,synthetic_anonymized
P0120,Philippines,Lazada PH,Gochujang sauce,Korean Brand,Korean Brand Z,Gochujang Sauce - tube,787,299.04,PHP,5.34,0.68,4.3,123,True,tube,mainstream,synthetic_anonymized
P0121,Philippines,Lazada PH,Frozen mandu,Korean Brand,Korean Brand F,Chicken Mandu - value pack,648,302.4,PHP,5.4,0.83,4.0,152,False,value pack,mainstream,synthetic_anonymized
P0122,Philippines,Shopee PH,Frozen mandu,Japanese Brand,Japanese Brand S,Vegetable Mandu - value pack,1024,328.16,PHP,5.86,0.57,4.5,28,False,value pack,mainstream,synthetic_anonymized
P0123,Philippines,Shopee PH,Frozen mandu,Private Label,Private Label F,Vegetable Mandu - family pack,900,715.12,PHP,12.77,1.42,4.7,62,False,family pack,mainstream,synthetic_anonymized
P0124,Philippines,Shopee PH,Frozen mandu,Japanese Brand,Japanese Brand B,Vegetable Mandu - frozen bag,825,636.72,PHP,11.37,1.38,3.0,212,False,frozen bag,value,synthetic_anonymized
P0125,Philippines,Shopee PH,Frozen mandu,Local Brand,Local Brand A,Vegetable Mandu - frozen bag,444,948.64,PHP,16.94,3.82,4.7,48,False,frozen bag,premium,synthetic_anonymized
P0126,Philippines,Lazada PH,Frozen mandu,Local Brand,Local Brand J,Kimchi Mandu - frozen bag,497,750.4,PHP,13.4,2.7,3.7,251,True,frozen bag,mainstream,synthetic_anonymized
P0127,Philippines,Shopee PH,Frozen mandu,Private Label,Private Label U,Pork Mandu - frozen bag,314,716.24,PHP,12.79,4.07,4.8,87,False,frozen bag,mainstream,synthetic_anonymized
P0128,Philippines,Shopee PH,Frozen mandu,Korean Brand,Korean Brand C,Chicken Mandu - family pack,456,309.12,PHP,5.52,1.21,3.9,43,False,family pack,mainstream,synthetic_anonymized
P0129,Philippines,Shopee PH,Ready meal,Local Brand,Local Brand V,Tteokbokki Meal - frozen tray,453,281.68,PHP,5.03,1.11,4.2,471,False,frozen tray,mainstream,synthetic_anonymized
P0130,Philippines,Lazada PH,Ready meal,Local Brand,Local Brand P,Korean Rice Bowl - frozen tray,317,540.96,PHP,9.66,3.05,4.2,37,False,frozen tray,mainstream,synthetic_anonymized
P0131,Philippines,Shopee PH,Ready meal,Local Brand,Local Brand W,Tteokbokki Meal - microwave bowl,460,400.4,PHP,7.15,1.55,4.7,58,True,microwave bowl,mainstream,synthetic_anonymized
P0132,Philippines,Lazada PH,Ready meal,Japanese Brand,Japanese Brand T,Bibimbap Bowl - microwave bowl,314,418.32,PHP,7.47,2.38,3.7,17,False,microwave bowl,value,synthetic_anonymized
P0133,Philippines,Shopee PH,Ready meal,Korean Brand,Korean Brand R,Korean Rice Bowl - frozen tray,529,339.92,PHP,6.07,1.15,4.1,24,False,frozen tray,mainstream,synthetic_anonymized
P0134,Philippines,Shopee PH,Ready meal,Korean Brand,Korean Brand Q,Bibimbap Bowl - frozen tray,562,260.4,PHP,4.65,0.83,4.3,971,False,frozen tray,mainstream,synthetic_anonymized
P0135,Philippines,Shopee PH,Ready meal,Premium Import Brand,Premium Import Brand U,Tteokbokki Meal - frozen tray,310,694.96,PHP,12.41,4.0,4.8,76,False,frozen tray,premium,synthetic_anonymized
P0136,Philippines,Lazada PH,Ready meal,Korean Brand,Korean Brand J,Tteokbokki Meal - microwave bowl,592,335.44,PHP,5.99,1.01,3.6,48,False,microwave bowl,value,synthetic_anonymized
P0137,Philippines,Shopee PH,Seaweed snack,Korean Brand,Korean Brand Z,Seaweed Crisps - tray pack,45,127.68,PHP,2.28,5.07,4.5,107,False,tray pack,premium,synthetic_anonymized
P0138,Philippines,Lazada PH,Seaweed snack,Local Brand,Local Brand Y,Seaweed Snack - multi-pack,30,141.12,PHP,2.52,8.4,4.0,163,False,multi-pack,mainstream,synthetic_anonymized
P0139,Philippines,Lazada PH,Seaweed snack,Local Brand,Local Brand V,Roasted Seaweed - snack pack,35,130.48,PHP,2.33,6.66,4.5,11,False,snack pack,mainstream,synthetic_anonymized
